ID,Type,Date,Time,Source,Lat (100m),Lon (100m)
5D82962,Gunshot_or_Firecracker,1-Jan-18,0:01:46,WashingtonDC5D,38.93,-76.967
4D66775,Gunshot_or_Firecracker,1-Jan-18,0:01:48,WashingtonDC4D,38.949,-77.024
7D258167,Gunshot_or_Firecracker,2-Jan-18,21:19:00,WashingtonDC7D,38.865,-76.984
5D83111,Gunshot_or_Firecracker,3-Jan-18,3:37:07,WashingtonDC5D,38.92,-76.991
3D68642,Gunshot_or_Firecracker,5-Jan-18,22:40:28,WashingtonDC3D,38.909,-77.019
7D258243,Gunshot_or_Firecracker,6-Jan-18,14:10:51,WashingtonDC7D,38.837,-77.005
7D258270,Gunshot_or_Firecracker,8-Jan-18,19:43:12,WashingtonDC7D,38.863,-76.989
1D93197,Gunshot_or_Firecracker,9-Jan-18,8:58:04,WashingtonDC1D,38.888,-76.981
7D258299,Gunshot_or_Firecracker,9-Jan-18,19:02:29,WashingtonDC7D,38.841,-77.001
6D201298,Gunshot_or_Firecracker,9-Jan-18,19:18:29,WashingtonDC6D,38.9,-76.934
6D201301,Gunshot_or_Firecracker,9-Jan-18,19:31:15,WashingtonDC6D,38.884,-76.957
6D201321,Gunshot_or_Firecracker,10-Jan-18,12:34:37,WashingtonDC6D,38.897,-76.931
5D83235,Gunshot_or_Firecracker,10-Jan-18,14:49:26,WashingtonDC5D,38.923,-77.005
6D201373,Gunshot_or_Firecracker,12-Jan-18,13:20:49,WashingtonDC6D,38.894,-76.93
6D201380,Gunshot_or_Firecracker,13-Jan-18,2:55:59,WashingtonDC6D,38.899,-76.925
7D258403,Gunshot_or_Firecracker,13-Jan-18,14:04:07,WashingtonDC7D,38.841,-76.992
7D258427,Gunshot_or_Firecracker,14-Jan-18,20:01:28,WashingtonDC7D,38.855,-76.97
7D258509,Gunshot_or_Firecracker,18-Jan-18,18:58:42,WashingtonDC7D,38.838,-77.002
6D201489,Gunshot_or_Firecracker,19-Jan-18,12:54:13,WashingtonDC6D,38.883,-76.946
4D67021,Gunshot_or_Firecracker,19-Jan-18,21:58:23,WashingtonDC4D,38.951,-77.028
5D83348,Gunshot_or_Firecracker,20-Jan-18,1:38:12,WashingtonDC5D,38.918,-76.977
6D201495,Gunshot_or_Firecracker,20-Jan-18,2:31:47,WashingtonDC6D,38.893,-76.928
7D258553,Gunshot_or_Firecracker,20-Jan-18,3:34:54,WashingtonDC7D,38.845,-76.999
4D67024,Gunshot_or_Firecracker,20-Jan-18,7:45:37,WashingtonDC4D,38.952,-77.028
1D93350,Gunshot_or_Firecracker,23-Jan-18,22:57:30,WashingtonDC1D,38.874,-77.013
6D201599,Gunshot_or_Firecracker,24-Jan-18,10:12:38,WashingtonDC6D,38.895,-76.924
7D258711,Gunshot_or_Firecracker,25-Jan-18,0:13:06,WashingtonDC7D,38.856,-76.971
7D258748,Gunshot_or_Firecracker,25-Jan-18,23:40:38,WashingtonDC7D,38.832,-77.004
6D201616,Gunshot_or_Firecracker,26-Jan-18,2:25:25,WashingtonDC6D,38.867,-76.944
7D258789,Gunshot_or_Firecracker,27-Jan-18,8:05:44,WashingtonDC7D,38.842,-76.993
5D83432,Gunshot_or_Firecracker,28-Jan-18,0:11:43,WashingtonDC5D,38.921,-77
7D258815,Gunshot_or_Firecracker,28-Jan-18,1:14:08,WashingtonDC7D,38.843,-77.003
5D83452,Gunshot_or_Firecracker,31-Jan-18,22:32:50,WashingtonDC5D,38.905,-76.976
6D201692,Gunshot_or_Firecracker,2-Feb-18,20:03:10,WashingtonDC6D,38.888,-76.948
5D83468,Gunshot_or_Firecracker,3-Feb-18,14:51:17,WashingtonDC5D,38.909,-77.011
7D258928,Gunshot_or_Firecracker,4-Feb-18,9:01:38,WashingtonDC7D,38.836,-76.997
6D201709,Gunshot_or_Firecracker,4-Feb-18,19:45:36,WashingtonDC6D,38.903,-76.943
7D258958,Gunshot_or_Firecracker,5-Feb-18,21:28:50,WashingtonDC7D,38.863,-76.991
7D259013,Gunshot_or_Firecracker,8-Feb-18,8:44:37,WashingtonDC7D,38.842,-76.986
5D83560,Gunshot_or_Firecracker,10-Feb-18,3:33:21,WashingtonDC5D,38.906,-77.009
4D67171,Gunshot_or_Firecracker,11-Feb-18,19:53:34,WashingtonDC4D,38.95,-77.029
7D259124,Gunshot_or_Firecracker,13-Feb-18,19:42:13,WashingtonDC7D,38.834,-76.999
5D83614,Gunshot_or_Firecracker,14-Feb-18,17:19:15,WashingtonDC5D,38.899,-76.976
6D201821,Gunshot_or_Firecracker,14-Feb-18,18:07:58,WashingtonDC6D,38.893,-76.953
5D83617,Gunshot_or_Firecracker,14-Feb-18,21:31:44,WashingtonDC5D,38.904,-76.975
6D201828,Gunshot_or_Firecracker,15-Feb-18,0:45:39,WashingtonDC6D,38.884,-76.929
7D259201,Gunshot_or_Firecracker,18-Feb-18,4:41:26,WashingtonDC7D,38.848,-76.975
