ID,Type,Date,Time,Source,Lat (100m),Lon (100m)
7D257847,Single_Gunshot,1-Jan-18,0:06:32,WashingtonDC7D,38.843,-76.981
5D83018,Single_Gunshot,1-Jan-18,0:15:50,WashingtonDC5D,38.915,-77.012
5D83019,Single_Gunshot,1-Jan-18,0:15:51,WashingtonDC5D,38.915,-77.012
7D257919,Single_Gunshot,1-Jan-18,0:19:11,WashingtonDC7D,38.847,-76.973
7D257960,Single_Gunshot,1-Jan-18,0:28:49,WashingtonDC7D,38.863,-76.982
1D93128,Single_Gunshot,1-Jan-18,0:31:05,WashingtonDC1D,38.872,-77.011
7D257984,Single_Gunshot,1-Jan-18,0:34:56,WashingtonDC7D,38.863,-76.982
7D257990,Single_Gunshot,1-Jan-18,0:36:18,WashingtonDC7D,38.857,-76.967
6D201086,Single_Gunshot,1-Jan-18,0:40:19,WashingtonDC6D,38.894,-76.924
7D258003,Single_Gunshot,1-Jan-18,0:44:29,WashingtonDC7D,38.844,-76.978
7D258005,Single_Gunshot,1-Jan-18,0:44:36,WashingtonDC7D,38.844,-76.978
7D258007,Single_Gunshot,1-Jan-18,0:44:39,WashingtonDC7D,38.844,-76.978
6D201100,Single_Gunshot,1-Jan-18,0:50:11,WashingtonDC6D,38.892,-76.936
7D258046,Single_Gunshot,1-Jan-18,1:01:27,WashingtonDC7D,38.856,-76.971
7D258050,Single_Gunshot,1-Jan-18,1:02:29,WashingtonDC7D,38.856,-76.972
7D258051,Single_Gunshot,1-Jan-18,1:02:43,WashingtonDC7D,38.856,-76.972
4D66913,Single_Gunshot,1-Jan-18,1:11:37,WashingtonDC4D,38.954,-77.026
7D258070,Single_Gunshot,1-Jan-18,1:26:02,WashingtonDC7D,38.856,-76.972
6D201145,Single_Gunshot,1-Jan-18,1:46:30,WashingtonDC6D,38.892,-76.936
7D258076,Single_Gunshot,1-Jan-18,1:48:45,WashingtonDC7D,38.847,-76.976
6D201169,Single_Gunshot,1-Jan-18,3:15:05,WashingtonDC6D,38.893,-76.919
7D258089,Single_Gunshot,1-Jan-18,3:16:42,WashingtonDC7D,38.845,-76.979
6D201175,Single_Gunshot,1-Jan-18,3:30:24,WashingtonDC6D,38.893,-76.919
6D201176,Single_Gunshot,1-Jan-18,3:30:45,WashingtonDC6D,38.893,-76.919
6D201222,Single_Gunshot,2-Jan-18,17:00:39,WashingtonDC6D,38.893,-76.953
6D201233,Single_Gunshot,3-Jan-18,0:42:43,WashingtonDC6D,38.882,-76.925
6D201258,Single_Gunshot,5-Jan-18,0:08:28,WashingtonDC6D,38.891,-76.932
6D201259,Single_Gunshot,5-Jan-18,0:19:25,WashingtonDC6D,38.888,-76.921
7D258232,Single_Gunshot,5-Jan-18,22:52:53,WashingtonDC7D,38.854,-76.97
7D258251,Single_Gunshot,6-Jan-18,23:35:08,WashingtonDC7D,38.844,-76.979
5D83160,Single_Gunshot,7-Jan-18,3:14:33,WashingtonDC5D,38.896,-76.983
